availibility,brand,discount,memory_size,num_ratings,os,price,price_without_discount,screen_resolution,screen_size,star_rating,title
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,Apple,-9%,128 GB,865 ratings,iOS,"81,499"," M.R.P.: ₹89,900.00 ",iPhone 15 Plus,6.7 Inches, 4.6 ,        Apple iPhone 15 Plus (128 GB) - Black       
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,Apple,-9%,128 GB,865 ratings,iOS,"81,499"," M.R.P.: ₹89,900.00 ",iPhone 15 Plus,6.7 Inches, 4.6 ,        Apple iPhone 15 Plus (128 GB) - Black       
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
 In stock ,Apple,-18%,128 GB,"28,077 ratings",iOS 14,"48,999"," M.R.P.: ₹59,900.00 ",4K,6.1 Inches, 4.5 ,        Apple iPhone 13 (128GB) - Starlight       
 In stock ,White,,1 Lithium Ion batteries required. (included),191 ratings,Apple,"11,900",,Tablet,0.11 Kilograms, 4.5 ,"        Apple Pencil Pro: Advanced tools, pixel-perfect precision, tilt and pressure sensitivity; and industry-leading low latency for note-taking, drawing and art. Attaches, charges and pairs magnetically.       "
